Year,PropertyNickname,UnitNum,January,February,March,April,May,June,July,August,September,October,November,December
2021,Murphy,1,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
2021,Woodward,1,825,825,825,825,825,825,825,825,825,825,825,825
2021,Woodward,2,900,900,900,900,900,900,900,900,900,900,900,900
2021,Woodward,3,615,615,615,615,615,615,615,615,615,615,615,615
2022,Murphy,1,1625,1625,1625,1650,1650,1650,1650,1650,1650,1650,1650,1650
2022,Woodward,1,825,825,825,835,835,835,835,835,835,835,835,835
2022,Woodward,2,900,900,900,911,911,911,911,911,911,911,911,911
2022,Woodward,3,615,615,615,625,625,625,625,625,625,625,625,625
2023,Murphy,1,1650,1650,1650,1691,1691,1691,1691,1691,1691,1691,1691,1691
2023,Woodward,1,835,835,835,855,855,855,855,855,855,855,855,855
2023,Woodward,2,911,911,911,933,933,933,933,1300,1300,1300,1300,1300
2023,Woodward,3,625,625,625,641,641,641,641,641,641,641,641,641
2024,Murphy,1,1691,1691,1691,1733,1733,1733,1733,1733,1733,1733,1733,1733
2024,Woodward,1,855,855,855,877,877,877,877,877,877,877,877,877
2024,Woodward,2,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
2024,Woodward,3,641,641,641,657,657,657,657,657,657,657,657,657
